-4,-8,6,0,0,0,1
-4,-8,8,0,0,0,1
-4,-8,10,0,-0.19509,0,0.980785
-4,-8,12,-0.19509,0,0,0.980785
-4,-8,14,-0.19509,0,0,0.980785
-4,-8,16,-0.19509,0,0,0.980785
-4,-8,18,-0.19509,0,0,0.980785
-4,-8,20,0,0,-0.19509,0.980785
-4,-8,22,0,0,-0.19509,0.980785
-4,-8,24,0,0,0,1
-4,-8,26,0,0,0,1
-4,-8,28,0,0,0,1
-4,-8,30,0,0,0,1
-4,-6,2,0,0,0,1
-4,-6,4,0,0,0,1
-4,-6,6,0,0,0,1
-4,-6,8,0,0,0,1
-4,-6,10,-0.19509,0,0,0.980785
-4,-6,12,-0.19509,0,0,0.980785
-4,-6,14,-0.19509,0,0,0.980785
-4,-6,16,-0.19509,0,0,0.980785
-4,-6,18,-0.19509,0,0,0.980785
-4,-6,20,0,0,-0.19509,0.980785
-4,-6,22,0,0,-0.19509,0.980785
-4,-6,24,0,0,-0.19509,0.980785
-4,-6,26,0,0,0,1
-4,-6,28,0,0,0,1
-4,-6,30,0,0,0,1
-4,-4,2,0,0,0,1
-4,-4,4,0,0,0,1
-4,-4,6,0,0,0,1
-4,-4,8,0,0,0,1
-4,-4,10,-0.19509,0,0,0.980785
-4,-4,12,-0.19509,0,0,0.980785
-4,-4,14,-0.19509,0,0,0.980785
-4,-4,16,-0.19509,0,0,0.980785
-4,-4,18,-0.19509,0,0,0.980785
-4,-4,20,-0.19509,0,0,0.980785
-4,-4,22,0,0,-0.19509,0.980785
-4,-4,24,0,0,-0.19509,0.980785
-4,-4,26,0,0,0,1
-4,-4,28,0,0,0,1
-4,-4,30,0,0,0,1
-4,-2,2,0,0,0,1
-4,-2,4,0,0,0,1
-4,-2,6,0,0,0,1
-4,-2,8,0,0,0,1
-4,-2,10,-0.19509,0,0,0.980785
-4,-2,12,-0.19509,0,0,0.980785
-4,-2,14,-0.19509,0,0,0.980785
-4,-2,16,-0.19509,0,0,0.980785
-4,-2,18,-0.19509,0,0,0.980785
-4,-2,20,-0.19509,0,0,0.980785
-4,-2,22,0,0,-0.19509,0.980785
-4,-2,24,0,0,-0.19509,0.980785
-4,-2,26,0,0,-0.19509,0.980785
-4,-2,28,0,0,0,1
-4,-2,30,0,0,0,1
-4,0,2,0,0,0,1
-4,0,4,0,0,0,1
-4,0,6,0,0,0,1
-4,0,8,0,0,0,1
-4,0,10,-0.19509,0,0,0.980785
-4,0,12,-0.19509,0,0,0.980785
-4,0,14,-0.191342,0.0380602,-0.191342,0.96194
-4,0,16,-0.191342,0.0380602,-0.191342,0.96194
-4,0,18,-0.19509,0,0,0.980785
-4,0,20,-0.19509,0,0,0.980785
-4,0,22,0,0,-0.19509,0.980785
-4,0,24,0,0,-0.19509,0.980785
-4,0,26,0,0,-0.19509,0.980785
-4,0,28,0,0,0,1
-4,0,30,0,0,0,1
-4,2,2,0,0,0,1
-4,2,4,0,0,0,1
-4,2,6,0,0,0,1
-4,2,8,0,0,0,1
-4,2,10,0,-0.19509,0,0.980785
-4,2,12,-0.19509,0,0,0.980785
